name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
asyarafi,140,21,0.15,0,21.393092548978558,15.055954334634752,0.685737670509233,21.95585131476605,0.0,0.353,0,11,584,14,117,0.57142857142857,0.7857142857142857,1
anilkumarb,335,197,0.5880597014925373,5,-1.954628898010423,49.896756454115625,12.23124028653934,4.079451902275826,0.012,0.942,0,17,799,130,80,0.19230769230769,0.13076923076923078,1
fire-za,127,19,0.14960629921259844,1,0.3291132956716183,5.001288582081464,0.5488255272779455,9.112711296223337,0.0,0.088,0,0,0,0,0,0,0,1
make-it-healthy,95,30,0.3157894736842105,5,-0.7157780368024618,15.053863599162531,2.478294755890936,6.074282957416312,0.003,3.894,0,0,0,0,0,0,0,1
steemcros,801,963,1.202247191011236,12,-1.0118581607152066,11.558256079713695,21.65954528313215,0.5336333671194354,0.125,38.907,30,0,0,1,5,0E-14,0.0,1
suryaking2085,367,400,1.0899182561307903,7,-0.9241614808969771,15.088884822573329,0.6796720991967485,22.200241617105814,0.007,0.328,0,0,0,0,0,0,0,1
dcaroa,1089,77,0.0707070707070707,8,58.90421617510428,392.93520098455394,443.02365776555075,0.8869395439656097,6.855,787.823,4,18,2862,37,90,0.02702702702702,0.4864864864864865,1
geezy,108,66,0.6111111111111112,1,-0.3186645052001751,15.044866573268418,0.7242366766818563,20.773411589975783,0.0,0.219,0,1,409,0,0,0,0,1
realmeandi,1573,200,0.12714558169103624,16,-1.5977136050717533,1687.570766147743,1687.570766147743,1.0,57.786,3646.111,0,42,670,231,57,0.12121212121212,0.18181818181818182,1
un0e,174,4,0.022988505747126436,1,-0.05490975676270082,15.024066053140382,2.4522444247976116,6.126659276381206,0.0,4.686,0,3,1037,45,163,0.48888888888888,0.06666666666666667,1
argent9,400,159,0.3975,4,22.36559942236071,15.05870316058889,0.5048214892309258,29.82975860146165,0.001,0.295,0,0,0,0,0,0,0,1
archi90,24,0,0.0,1,-0.7539527343237538,15.06377483445785,0.5098727758016137,29.544183469640693,0.001,0.007,0,0,0,0,0,0,0,1
aireal,577,36,0.06239168110918544,14,-1.913484468257181,41.505771714334784,41.505771714334784,1.0,0.123,80.94,30,0,0,2,255,0E-14,0.0,1
faisal003,288,252,0.875,1,20.845141215069226,15.08384824412661,0.1861316773994392,81.0385876003074,0.0,0.167,0,31,596,16,78,0.37500000000000,1.9375,1
effara,57,7,0.12280701754385964,1,-1.360010803389649,5.003708757030982,0.26197764234582366,19.099754895976336,0.0,0.316,0,0,0,0,0,0,0,1
dachaoticmind,142,18,0.1267605633802817,1,10.545507380330097,5.0003168605554045,0.17522005184959077,28.53735521575856,0.004,0.14,2,0,0,0,0,0,0,1
metromolek,100,76,0.76,1,-0.4646471016213525,15.056963553513595,0.14105633195066197,106.74432934198339,0.0,0.077,0,4,907,6,232,0.83333333333333,0.6666666666666666,1
nanature,190,68,0.35789473684210527,2,-1.140225309439323,0.5811859943697949,0.5811859943697949,1.0,0.014,0.12,0,0,0,0,0,0,0,1
ombeben,83,24,0.2891566265060241,3,-1.366629491530567,15.097233263571367,5.834669728064235,2.5875043433829745,0.093,10.36,1,0,0,7,398,1.00000000000000,0.0,1
rumonk11,289,374,1.2941176470588236,2,-0.42794596123092177,15.031720295259037,0.3276623171134109,45.875645474533584,0.001,0.382,30,1,27,0,0,0,0,1
soan55,140,102,0.7285714285714285,5,-1.3714999860715409,9.26904152589195,2.3916124452925143,3.875645297019797,0.018,17.996,0,0,0,5,208,0.60000000000000,0.0,1
teukuamari,706,4492,6.362606232294618,8,13.494469526183183,15.054946834310567,0.40091888843928103,37.55110389764196,0.018,0.541,1,78,1010,113,68,0.14159292035398,0.6902654867256637,1
yeico,169,117,0.6923076923076923,3,21.38229398450681,15.055414612750369,0.19093478257273436,78.85108417590276,0.0,0.12,0,35,245,26,53,0.07692307692307,1.3461538461538463,1
cumanes34,516,190,0.3682170542635659,4,41.23760835790902,15.000950582159623,3.6419773584246165,4.11890275689371,0.043,6.224,2,70,2232,126,135,0.19841269841269,0.5555555555555556,1
dewa,108,109,1.0092592592592593,1,-0.9114608795272119,14.294810689137813,1.1835326366094834,12.07808745358199,0.005,3.829,0,5,515,20,112,0.90000000000000,0.25,1
boyhaque,305,164,0.5377049180327869,8,-1.1041018078773739,5.007213974003976,1.0632737182637078,4.709242679467897,0.001,1.059,3,0,0,0,0,0,0,1
moyse,1059,1277,1.2058545797922569,11,49.071612371477364,201.09347841244067,201.09347841244067,1.0,0.737,34.57,0,277,161,2182,10,0.00045829514207,0.12694775435380384,2
dsocer,622,67,0.10771704180064309,1,56.30622863275197,3647.2257502091484,3750.84231008607,0.9723751223563051,20.676,285.805,0,77,61,358,4,0E-14,0.21508379888268156,2
ediputra3211,545,197,0.3614678899082569,3,44.9698336239757,15.000382769825856,9.187928948801797,1.6326184990559884,0.012,11.584,1,130,127,827,11,0E-14,0.15719467956469166,2
komgthet,489,273,0.558282208588957,1,46.917773864026124,18.36808877481818,18.36808877481818,1.0,0.109,25.464,0,33,1526,546,10,0.00366300366300,0.06043956043956044,2
rubelynmacion,640,502,0.784375,0,50.030697887769136,13.574712504731599,23.635964287669864,0.5743244633269774,0.067,46.038,1,74,597,1120,60,0.02410714285714,0.06607142857142857,2
fatima1212,256,119,0.46484375,4,16.60046423358292,15.089042050834701,0.31222474736580896,48.32750183365852,0.001,0.347,0,43,267,1022,61,0.02250489236790,0.04207436399217221,2
xakarisyed,632,711,1.125,7,45.60061012649133,52.015210549668126,52.015210549668126,1.0,0.044,18.71,1,885,454,1529,20,0.00392413342053,0.578809679529104,2
genjiyen,313,53,0.16932907348242812,1,41.69438461112106,15.044618226084529,10.798685896085585,1.3931897242735851,0.155,19.85,0,61,237,123,4,0E-14,0.4959349593495935,2
cryptoearnmoney,343,181,0.5276967930029155,3,34.35435549291119,15.031400361860992,0.1002095640015084,149.9996583323597,0.007,0.832,0,230,1384,508,24,0.05905511811023,0.452755905511811,2
hdyam,576,6468,11.229166666666666,3,36.74394789266858,15.0151647852302,0.7085067118573499,21.19269236824582,0.005,1.188,0,28,54,691,13,0E-14,0.04052098408104197,2
aaronnn47,2316,170,0.07340241796200346,8,52.4331985830863,1910.3655865002884,1910.3655865002884,1.0,27.256,124.686,0,54,472,399,7,0E-14,0.13533834586466165,2
mdabdurrahimrsl,306,30,0.09803921568627451,0,42.82083127315705,15.055794434052961,5.966971766273951,2.5231884821627846,0.058,10.727,0,25,195,73,4,0E-14,0.3424657534246575,2
dhandeb,381,2052,5.3858267716535435,1,25.0,15.086208677715003,0.1214981896713302,124.16817664958904,0.0,0.041,1,41,3067,106,5,0E-14,0.3867924528301887,2
mamqmuqit,156,12,0.07692307692307693,2,46.89061428011007,4.051687330404545,3.0401923411298344,1.332707564449296,306.935,29.548,0,4,91,139,8,0E-14,0.02877697841726619,2
bravobravo,72,0,0.0,0,57.818945157929285,152.55692296501263,152.55692296501263,1.0,0.95,361.561,0,1,105,210,9,0E-14,0.004761904761904762,2
tigree,71,0,0.0,0,58.447796487874804,133.70117718475782,133.70117718475782,1.0,0.273,412.923,0,0,0,220,9,0E-14,0.0,2
croxdragnel,246,33,0.13414634146341464,0,44.3763850924259,15.009918186378265,3.240847738573155,4.631478982405593,0.009,10.08,0,48,781,333,45,0E-14,0.14414414414414414,2
turboucoin,552,6532,11.833333333333334,3,-1.8712153287088498,15.07728646939148,1.785624929305993,8.443702942281092,0.001,3.34,30,164,792,381,99,0.34120734908136,0.4304461942257218,2
aungthurain,468,102,0.21794871794871795,4,49.76398219400983,32.63423318429151,32.63423318429151,1.0,0.194,45.838,0,35,1115,204,11,0.00490196078431,0.1715686274509804,2
xgirl,366,30,0.08196721311475409,0,50.43208996176564,10.06427134564123,10.06427134564123,1.0,5.008,72.364,0,2,46,47,4,0E-14,0.0425531914893617,2
anjula,1094,119,0.10877513711151737,3,49.78247327336661,29.390602496857394,193.0607552758352,0.15223499180279093,0.546,56.221,0,123,151,269,14,0.01115241635687,0.45724907063197023,2
artakan,1554,87,0.055984555984555984,5,56.7251159894657,1325.2572444309833,1325.2572444309833,1.0,19.272,505.345,9,1,179,427,26,0E-14,0.00234192037470726,2
ali14,150,4,0.02666666666666667,3,54.330507704680585,40.835652579894976,40.835652579894976,1.0,0.032,135.059,0,0,0,1135,13,0E-14,0.0,2
sanamamq,1728,2217,1.2829861111111112,5,55.566405794253996,632.5944574677845,49.14046386901612,12.873188563176056,252.928,323.874,0,0,0,184,10,0E-14,0.0,2
ylike7,300,225,0.75,0,40.69464353356047,15.000382769825856,6.475589988787665,2.3164503614031577,0.035,12.937,0,179,662,614,59,0.15146579804560,0.2915309446254072,2
awanawan,1428,418,0.2927170868347339,9,53.06426950792007,61.985004495615605,61.985004495615605,1.0,0.397,120.935,30,27,107,169,13,0E-14,0.15976331360946747,2
rocaxel,264,61,0.23106060606060605,1,41.578582097702444,15.000230604466969,2.7019046954622246,5.551724540713612,0.032,5.106,0,31,2895,184,30,0.01086956521739,0.16847826086956522,2
laciri,1008,960,0.9523809523809523,4,52.14960564526679,718.5753267248077,27.367785310763466,26.256246845162128,2.952,97.131,2,62,1747,266,30,0.01503759398496,0.23308270676691728,2
shibleehossain,371,493,1.3288409703504043,0,15.185401005112652,15.015932331805258,0.13667978112211462,109.86213329087413,0.003,0.062,29,62,2372,148,14,0E-14,0.4189189189189189,2
sstf11,158,8,0.05063291139240506,2,51.774364268825124,5330.822456668805,5330.822456668805,1.0,38.977,86.613,0,0,0,317,28,0E-14,0.0,2
pirata,18,0,0.0,1,57.90449462009485,170.30220198308018,170.30220198308018,1.0,0.023,330.188,0,0,0,93,7,0E-14,0.0,2
waqasniaz,812,680,0.8374384236453202,3,55.16694289327511,130.36362199411326,130.36362199411326,1.0,0.852,179.37,0,35,4435,444,33,0.01126126126126,0.07882882882882883,2
fahad2050,215,52,0.24186046511627907,0,31.51759018344366,15.02897895387441,0.10019373435163234,149.9991895813549,0.003,0.342,0,14,2538,65,21,0E-14,0.2153846153846154,2
boyhaqi97,2705,58,0.02144177449168207,5,43.730255815837445,14.674451917006369,5.816579735236157,2.522866114618916,0.031,11.204,1,206,945,269,56,0.04089219330855,0.7657992565055762,2
cryptoclient,301,69,0.2292358803986711,0,37.425427221047684,15.075028795305991,0.328598126620054,45.876794704726656,0.007,0.437,1,76,2581,276,24,0.00724637681159,0.2753623188405797,2
papagaio,17,0,0.0,0,57.60180018472079,155.9782271135173,155.9782271135173,1.0,0.008,305.621,0,0,0,86,7,0E-14,0.0,2
latifurrahmi,378,178,0.4708994708994709,2,27.996451308322676,15.027232076370497,0.6561247622890158,22.90301012866081,0.01,0.205,0,23,46,42,8,0E-14,0.5476190476190477,2
avikant,401,86,0.2144638403990025,4,12.447998034866224,15.002228447199847,0.7329279227065898,20.46890012294651,0.031,0.302,30,129,1341,405,83,0.00246913580246,0.31851851851851853,2
