name,followers,followings,follow ratio,muters,reputation,effective sp,own sp,sp ratio,curation_rewards,posting_rewards,witnesses_voted_for,posts,average_post_len,comments,average_comment_len,comments_with_link_ratio,posts_to_comments_ratio,class
shaanivc,272,29,0.10661764705882353,0,51.04289876109973,32.328781500968354,32.328781500968354,1.0,0.0,63.319,0,14,1876,1349,36,0E-14,0.010378057820607857,2
jidmi2747,179,132,0.7374301675977654,0,25.0,15.005402990199514,0.1000361735974786,149.99976958912515,0.0,0.0,2,10,192,79,19,0.01265822784810,0.12658227848101267,2
mymariia,1068,2959,2.7705992509363297,0,29.671090434616612,15.071095477189244,0.17687288164353118,85.20862744557678,0.001,0.147,0,39,3540,158,45,0E-14,0.2468354430379747,2
infinitystuff,222,135,0.6081081081081081,0,25.0,15.061973030257985,0.11435611681801781,131.7111270420896,0.001,0.028,0,14,2668,32,16,0E-14,0.4375,2
parmpal007,217,214,0.9861751152073732,0,33.700717405666126,15.015069391246355,0.5463605942090846,27.481977196730806,0.007,0.832,0,27,243,390,103,0.91025641025641,0.06923076923076923,2
cookwithmeena,184,2,0.010869565217391304,0,25.0,15.037223666783134,0.100248603391827,149.9993332376846,0.0,0.0,0,4,415,22,13,0E-14,0.18181818181818182,2
salimbur,207,63,0.30434782608695654,1,43.87755424707606,15.000752602916416,7.189801152262999,2.0863932513898398,0.014,6.935,0,12,701,313,26,0E-14,0.038338658146964855,2
arjung216,688,594,0.8633720930232558,1,57.8504452612203,4.746774973658992,222.5809310025828,0.021326063074127006,1.9,348.188,0,28,1461,215,38,0.00465116279069,0.13023255813953488,2
mediawizards,469,140,0.29850746268656714,0,52.35470679504366,37.5940097319885,37.5940097319885,1.0,0.034,74.686,2,26,2662,1575,81,0.51428571428571,0.01650793650793651,2
entertainment4u,218,81,0.37155963302752293,1,42.66864223364842,15.027518354924942,6.43416387409159,2.3355821593907735,0.014,7.404,1,40,433,76,30,0.07894736842105,0.5263157894736842,2
archana25,323,46,0.14241486068111456,0,47.736952071276946,517.8259980337752,16.62193782627902,31.153166582966072,1.881,24.716,1,50,1052,497,69,0.00201207243460,0.1006036217303823,2
uday20,305,465,1.5245901639344261,0,34.073002235604626,13.985483677413287,1.581065518884978,8.845606655995086,0.025,0.593,2,28,1097,313,37,0.00638977635782,0.08945686900958466,2
mahadi,1187,961,0.8096040438079192,5,42.37724837215049,15.129806289578436,15.129806289578436,1.0,0.017,8.33,0,11,137,31,31,0.03225806451612,0.3548387096774194,2
dubletna,18,17,0.9444444444444444,0,25.0,15.018415119879544,0.10012328108027505,149.9992305269975,0.041,0.0,0,0,0,18,12,0E-14,0.0,2
magnitocryp,90,97,1.0777777777777777,2,30.51637871501527,15.01211092086522,0.6371073477840002,23.5629222815914,0.411,0.331,0,0,0,42,11,0E-14,0.0,2
gomsebe,265,174,0.6566037735849056,0,25.0,3.01003684323999,3.01003684323999,1.0,0.0,0.0,0,12,442,170,42,0.00588235294117,0.07058823529411765,2
mydraor,63,30,0.47619047619047616,0,36.51300307407753,15.093825125837435,11.680950192356983,1.2921744273606737,0.05,1.56,11,0,0,10,5,0E-14,0.0,2
only4you,211,5,0.023696682464454975,0,38.18868658414816,15.007330651077986,1.4734556409189157,10.185125520113191,0.009,2.074,0,21,492,65,30,0E-14,0.3230769230769231,2
itssahilarora4u,347,155,0.44668587896253603,0,52.41823792540691,561.212307218905,60.08518930134864,9.340276925886432,2.177,85.608,7,80,1177,567,55,0.00176366843033,0.14109347442680775,2
